第一章危害国家安全罪,,,,,,,,,,,,,,,
304,脱逃,刑法第316条第1款,故意杀人罪,故意伤害罪,,,,,,,,,,,
305,劫夺被押解人员罪,刑法第316条第2款,,,,,,,,,,,,,
306,组织越狱罪,刑法第317条第1款,,,,,,,,,,,,,
307,暴动越狱罪,刑法第317条第2款,,,,,,,,,,,,,
308,聚众持械劫狱罪,刑法第317条第2款,,,,,,,,,,,,,
第三节妨害国（边）境管理罪,,,,,,,,,,,,,,,
309,组织他人偷越国（边）境罪,刑法第318条,,,,,,,,,,,,,
310,骗取出境证件罪,刑法第319条,,,,,,,,,,,,,
311,提供伪造、变造的出入境证件罪,刑法第320条,,,,,,,,,,,,,
312,出售出入境证件罪,刑法第320条,,,,,,,,,,,,,
313,运送他人偷越国（边）境罪,刑法第321条,偷越国（边）境罪,,,,,,,,,,,,
314,偷越国（边）境罪,刑法第322条,运送他人偷越国（边）境罪,,,,,,,,,,,,
